method,source,omitted_donor,median_difference,positive_direction,n
logFC,T/NK,SCP259_N111,0.0506270806404282,TRUE,10
logFC,T/NK,SCP259_N23,0.0506270806404282,TRUE,10
logFC,T/NK,SCP259_N24,0.0506270806404282,TRUE,10
logFC,T/NK,SCP259_N44,0.0506270806404282,TRUE,10
logFC,T/NK,SCP259_N49,0.0680511159588078,TRUE,10
logFC,T/NK,SCP259_N50,0.0680511159588078,TRUE,10
logFC,T/NK,SCP259_N539,0.067977753761521,TRUE,10
logFC,T/NK,SCP259_N58,0.0506270806404282,TRUE,10
logFC,T/NK,SCP259_N661,0.0680511159588078,TRUE,10
logFC,T/NK,SCP259_N9,0.0680511159588078,TRUE,10
