gart_threshold,min_cells,expression_threshold,source,interaction_name,result_type,pathway_name,ligand,receptor,median_difference,HL_estimate,CI_low,CI_high,P,positive_donor_fraction,n_paired_donors,test,warning,FDR,lodo_positive_fraction,lodo_n
1,20,0.05,Other epithelial,MIF_CD74_CD44,interaction,MIF,MIF,CD74_CD44,0.0110253794662811,0.0125517292012552,0.00458900966042472,0.0196230760047286,0.001953125,0.909090909090909,11,exact Wilcoxon signed-rank,"",0.00926050646551724,1,11
1,20,0.05,Other epithelial,MIF_CD74_CXCR4,interaction,MIF,MIF,CD74_CXCR4,0.00274015494519575,0.00113287405885627,-0.0118011901249358,0.0098124754177197,0.84375,0.666666666666667,6,exact Wilcoxon signed-rank,"",0.856203874538746,1,6
1,20,0.05,Other epithelial,MIF_CD74_FAMILY,interaction_family,MIF,MIF,CD74-containing receptor complex family,0.0140401118975707,0.0140198083374097,0.00568261589187045,0.0193028218384871,0.009765625,0.909090909090909,11,exact Wilcoxon signed-rank,"",0.0248661747685185,1,11
1,20,0.05,T/NK,,pathway,MIF,,,0.00701446766163318,0.00728071948154029,0.00275702114271982,0.0175591039469294,0.0048828125,0.909090909090909,11,exact Wilcoxon signed-rank,"",0.0109514508928571,,
1,20,0.05,T/NK,,pathway,TRAIL,,,3.71775993393236e-05,7.04721822822761e-05,-6.38928570246195e-05,0.000513271055340904,0.375,0.714285714285714,7,exact Wilcoxon signed-rank,"",0.406034482758621,,
1,20,0.05,T/NK,MIF_CD74_CD44,interaction,MIF,MIF,CD74_CD44,0.00581695660200612,0.00619009989064632,0.00252463993275803,0.0103593986419745,0.001953125,0.909090909090909,11,exact Wilcoxon signed-rank,"",0.00926050646551724,1,11
1,20,0.05,T/NK,MIF_CD74_CXCR4,interaction,MIF,MIF,CD74_CXCR4,0.001887977579949,0.000418799269973961,-0.00549094823100175,0.00510260698532281,0.6875,0.666666666666667,6,exact Wilcoxon signed-rank,"",0.70677570093458,1,6
1,20,0.05,T/NK,MIF_CD74_FAMILY,interaction_family,MIF,MIF,CD74-containing receptor complex family,0.00701446766163318,0.00725186952467796,0.00275702114271982,0.0103774044049908,0.0048828125,0.909090909090909,11,exact Wilcoxon signed-rank,"",0.0181455869932432,1,11
1,20,0.1,Endothelial,,pathway,MIF,,,0.0105174238160977,0.0104879556290688,-0.0043246860768719,0.0136638770302702,0.0537109375,0.909090909090909,11,exact Wilcoxon signed-rank,"",0.066499255952381,,
1,20,0.1,Endothelial,,pathway,MK,,,0.0142675914165558,0.0141216654448343,0.0100328946055199,0.0243695111728651,0.001953125,1,10,exact Wilcoxon signed-rank,"",0.00597426470588235,,
1,20,0.1,Endothelial,,pathway,TRAIL,,,0.0002390879352856,,,,,0.75,4,not estimable: <6 paired donors,"",,,
1,20,0.1,Endothelial,MIF_CD74_CD44,interaction,MIF,MIF,CD74_CD44,0.0104781329000592,0.00805712912574505,0.00416787336178355,0.0130682207777393,0.001953125,0.909090909090909,11,exact Wilcoxon signed-rank,"",0.0082750822368421,1,11
