endpoint,family,panel,group,mouse_id,value,source_replicate_position,mouse_id_status
% GART+ among EPCAM+ epithelial cells,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Model,IF_GART_OLFM4_Epcam__Model_rep_01,70.94,1,source-position ID; actual mouse and selection mapping absent
% GART+ among EPCAM+ epithelial cells,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Model,IF_GART_OLFM4_Epcam__Model_rep_02,53.66,2,source-position ID; actual mouse and selection mapping absent
% GART+ among EPCAM+ epithelial cells,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Model,IF_GART_OLFM4_Epcam__Model_rep_03,68.14,3,source-position ID; actual mouse and selection mapping absent
% OLFM4+ among EPCAM+ epithelial cells,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Control,IF_GART_OLFM4_Epcam__Control_rep_01,5.02,1,source-position ID; actual mouse and selection mapping absent
% OLFM4+ among EPCAM+ epithelial cells,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Control,IF_GART_OLFM4_Epcam__Control_rep_02,8.13,2,source-position ID; actual mouse and selection mapping absent
% OLFM4+ among EPCAM+ epithelial cells,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Control,IF_GART_OLFM4_Epcam__Control_rep_03,3.59,3,source-position ID; actual mouse and selection mapping absent
% OLFM4+ among EPCAM+ epithelial cells,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Model,IF_GART_OLFM4_Epcam__Model_rep_01,98.29,1,source-position ID; actual mouse and selection mapping absent
% OLFM4+ among EPCAM+ epithelial cells,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Model,IF_GART_OLFM4_Epcam__Model_rep_02,84.76,2,source-position ID; actual mouse and selection mapping absent
% OLFM4+ among EPCAM+ epithelial cells,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Model,IF_GART_OLFM4_Epcam__Model_rep_03,81.4,3,source-position ID; actual mouse and selection mapping absent
% GART+OLFM4+ double-positive among EPCAM+ cells,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Control,IF_GART_OLFM4_Epcam__Control_rep_01,1.26,1,source-position ID; actual mouse and selection mapping absent
% GART+OLFM4+ double-positive among EPCAM+ cells,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Control,IF_GART_OLFM4_Epcam__Control_rep_02,3.43,2,source-position ID; actual mouse and selection mapping absent
% GART+OLFM4+ double-positive among EPCAM+ cells,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Control,IF_GART_OLFM4_Epcam__Control_rep_03,6.79,3,source-position ID; actual mouse and selection mapping absent
% GART+OLFM4+ double-positive among EPCAM+ cells,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Model,IF_GART_OLFM4_Epcam__Model_rep_01,70.94,1,source-position ID; actual mouse and selection mapping absent
% GART+OLFM4+ double-positive among EPCAM+ cells,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Model,IF_GART_OLFM4_Epcam__Model_rep_02,66.83,2,source-position ID; actual mouse and selection mapping absent
% GART+OLFM4+ double-positive among EPCAM+ cells,multiplex_IF::GART(黄）+OLFM4(紫）+Epcam（绿）,GART(黄）+OLFM4(紫）+Epcam（绿）,Model,IF_GART_OLFM4_Epcam__Model_rep_03,44.37,3,source-position ID; actual mouse and selection mapping absent
PAICS MFI in crypt/cellular ROI,multiplex_IF::GART(黄）+PAICS(紫）+PCNA（绿）,GART(黄）+PAICS(紫）+PCNA（绿）,Control,IF_GART_PAICS_PCNA__Control_rep_01,6.1,1,source-position ID; actual mouse and selection mapping absent
PAICS MFI in crypt/cellular ROI,multiplex_IF::GART(黄）+PAICS(紫）+PCNA（绿）,GART(黄）+PAICS(紫）+PCNA（绿）,Control,IF_GART_PAICS_PCNA__Control_rep_02,5.81,2,source-position ID; actual mouse and selection mapping absent
PAICS MFI in crypt/cellular ROI,multiplex_IF::GART(黄）+PAICS(紫）+PCNA（绿）,GART(黄）+PAICS(紫）+PCNA（绿）,Control,IF_GART_PAICS_PCNA__Control_rep_03,8.75,3,source-position ID; actual mouse and selection mapping absent
PAICS MFI in crypt/cellular ROI,multiplex_IF::GART(黄）+PAICS(紫）+PCNA（绿）,GART(黄）+PAICS(紫）+PCNA（绿）,Model,IF_GART_PAICS_PCNA__Model_rep_01,47.42,1,source-position ID; actual mouse and selection mapping absent
PAICS MFI in crypt/cellular ROI,multiplex_IF::GART(黄）+PAICS(紫）+PCNA（绿）,GART(黄）+PAICS(紫）+PCNA（绿）,Model,IF_GART_PAICS_PCNA__Model_rep_02,26.71,2,source-position ID; actual mouse and selection mapping absent
PAICS MFI in crypt/cellular ROI,multiplex_IF::GART(黄）+PAICS(紫）+PCNA（绿）,GART(黄）+PAICS(紫）+PCNA（绿）,Model,IF_GART_PAICS_PCNA__Model_rep_03,44.97,3,source-position ID; actual mouse and selection mapping absent
PCNA+ cells (%),multiplex_IF::GART(黄）+PAICS(紫）+PCNA（绿）,GART(黄）+PAICS(紫）+PCNA（绿）,Control,IF_GART_PAICS_PCNA__Control_rep_01,0.36,1,source-position ID; actual mouse and selection mapping absent
PCNA+ cells (%),multiplex_IF::GART(黄）+PAICS(紫）+PCNA（绿）,GART(黄）+PAICS(紫）+PCNA（绿）,Control,IF_GART_PAICS_PCNA__Control_rep_02,0.61,2,source-position ID; actual mouse and selection mapping absent
PCNA+ cells (%),multiplex_IF::GART(黄）+PAICS(紫）+PCNA（绿）,GART(黄）+PAICS(紫）+PCNA（绿）,Control,IF_GART_PAICS_PCNA__Control_rep_03,0.48,3,source-position ID; actual mouse and selection mapping absent
PCNA+ cells (%),multiplex_IF::GART(黄）+PAICS(紫）+PCNA（绿）,GART(黄）+PAICS(紫）+PCNA（绿）,Model,IF_GART_PAICS_PCNA__Model_rep_01,7.45,1,source-position ID; actual mouse and selection mapping absent
PCNA+ cells (%),multiplex_IF::GART(黄）+PAICS(紫）+PCNA（绿）,GART(黄）+PAICS(紫）+PCNA（绿）,Model,IF_GART_PAICS_PCNA__Model_rep_02,3.13,2,source-position ID; actual mouse and selection mapping absent
PCNA+ cells (%),multiplex_IF::GART(黄）+PAICS(紫）+PCNA（绿）,GART(黄）+PAICS(紫）+PCNA（绿）,Model,IF_GART_PAICS_PCNA__Model_rep_03,3.77,3,source-position ID; actual mouse and selection mapping absent
GART+PAICS+ overlap area / crypt epithelial area,multiplex_IF::GART(黄）+PAICS(紫）+PCNA（绿）,GART(黄）+PAICS(紫）+PCNA（绿）,Control,IF_GART_PAICS_PCNA__Control_rep_01,1.37,1,source-position ID; actual mouse and selection mapping absent
GART+PAICS+ overlap area / crypt epithelial area,multiplex_IF::GART(黄）+PAICS(紫）+PCNA（绿）,GART(黄）+PAICS(紫）+PCNA（绿）,Control,IF_GART_PAICS_PCNA__Control_rep_02,0.93,2,source-position ID; actual mouse and selection mapping absent
GART+PAICS+ overlap area / crypt epithelial area,multiplex_IF::GART(黄）+PAICS(紫）+PCNA（绿）,GART(黄）+PAICS(紫）+PCNA（绿）,Control,IF_GART_PAICS_PCNA__Control_rep_03,0.58,3,source-position ID; actual mouse and selection mapping absent
GART+PAICS+ overlap area / crypt epithelial area,multiplex_IF::GART(黄）+PAICS(紫）+PCNA（绿）,GART(黄）+PAICS(紫）+PCNA（绿）,Model,IF_GART_PAICS_PCNA__Model_rep_01,7.04,1,source-position ID; actual mouse and selection mapping absent
